"Tweet id","Tweet permalink","Tweet text","time","impressions","engagements","engagement rate","retweets","replies","likes","user profile clicks","url clicks","hashtag clicks","detail expands","permalink clicks","app opens","app installs","follows","email tweet","dial phone","media views","media engagements","promoted impressions","promoted engagements","promoted engagement rate","promoted retweets","promoted replies","promoted likes","promoted user profile clicks","promoted url clicks","promoted hashtag clicks","promoted detail expands","promoted permalink clicks","promoted app opens","promoted app installs","promoted follows","promoted email tweet","promoted dial phone","promoted media views","promoted media engagements"
"1531742335943458818","https://twitter.com/daveyscience/status/1531742335943458818","Day 20 | #100DaysOfCode

Lots of calculations and transformations in pandas.

The key piece was measuring variables across different time horizons.","2022-05-31 21:00 +0000","166.0","9.0","0.05421686746987952","3.0","0.0","6.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1531712141132189698","https://twitter.com/daveyscience/status/1531712141132189698","Performance metrics for classification models:

- Recall
- Precision
- Accuracy
- AUC / ROC
- F-one score
- Gini coefficient
- Confusion matrix
- Kappa coefficient
- Matthews coefficient

...I think we need a thread to understand all this...","2022-05-31 19:00 +0000","65.0","1.0","0.015384615384615385","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1531693380417343493","https://twitter.com/daveyscience/status/1531693380417343493","@sumitsaurabh927 Love your threads man! Where do you do the animations?","2022-05-31 17:45 +0000","65.0","2.0","0.03076923076923077","0.0","1.0","1.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1531692879567106050","https://twitter.com/daveyscience/status/1531692879567106050","Reasons You Need to Learn Python

1. Easy - Beginner friendly, English-like syntax

2. Versatile - anything from full stack development to machine learning

3. Popular - large and growing community and ecosystem

4. In-Demand - 2-3x your salary or start freelancing, you choose","2022-05-31 17:43 +0000","1260.0","55.0","0.04365079365079365","0.0","4.0","18.0","10.0","0.0","0.0","23.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1531692724222574596","https://twitter.com/daveyscience/status/1531692724222574596","Popular Machine Learning Project Ideas

- Image Classification (Computer Vision)
- Sentiment Analysis (NLP)
- Fraud or Cancer Detection (Classification w/ Imbalance)
- Stock or Home Price Prediction (Decision Tree/Regression)

Wide range of free knowledge available in tutorials!","2022-05-31 17:42 +0000","926.0","13.0","0.014038876889848811","0.0","0.0","2.0","3.0","0.0","0.0","8.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1531681956689285125","https://twitter.com/daveyscience/status/1531681956689285125","Look at my posts about #100DaysOfCode

- Projects to get excited about and solidify skills.

- Courses and tutorials to work through issues and introduce new skills.

- Exercises for fundamental practice and cheap dopamine.

This is the way.","2022-05-31 17:00 +0000","54.0","1.0","0.018518518518518517","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1531647053159342082","https://twitter.com/daveyscience/status/1531647053159342082","If you're worried about the automation of data science, prioritize the following skills:

- Problem scoping
- Data prep and clean
- Model documentation
- Stakeholder engagement
- Interpretability &amp; actionability

Soft skills and dirty work will never go out of style.","2022-05-31 14:41 +0000","505.0","13.0","0.02574257425742574","0.0","0.0","7.0","1.0","0.0","0.0","5.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1531395640864956418","https://twitter.com/daveyscience/status/1531395640864956418","Learn data science for free on YouTube:

- Sentdex 
- StatQuest
- Corey Shafer
- freeCodeCamp
- Data Science Dojo

Fast, targeted, practical way to learn.

YouTube &gt; Paid Courses","2022-05-30 22:02 +0000","1036.0","30.0","0.02895752895752896","2.0","0.0","15.0","1.0","0.0","0.0","12.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1531379949139070982","https://twitter.com/daveyscience/status/1531379949139070982","Day 19 | #100DaysOfCode

Back to Databricks tutorials, with a focus on Spark fundamentals.","2022-05-30 21:00 +0000","235.0","10.0","0.0425531914893617","3.0","0.0","6.0","0.0","0.0","0.0","1.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1531349745716822021","https://twitter.com/daveyscience/status/1531349745716822021","Learning to code is exhausting. You won't always be able to sit at your computer and focus.

But YouTube, alcohol, junk food, podcasts - all this will overstimulate and drain your energy even more.

When your mind tells you that you need a break, make sure you take a good one.","2022-05-30 19:00 +0000","118.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
